pickup,drop,hour,dayofweek,event,demand,distance,competitor_fare,fare,pickup_code,drop_code
Kolar,BHEL,18,6,1,81,13.11,190.32,314.31,5,2
Kolar,Ashoka Garden,21,3,0,93,9.32,176.84,205.43,5,1
Ashoka Garden,New Market,22,0,0,58,4.99,108.88,117.66,1,8
Ashoka Garden,Kolar,8,5,1,57,9.32,181.84,218.58,1,5
Shahpura,Airport,18,2,0,65,14.75,210.0,250.32,10,0
Lalghati,BHEL,16,1,1,49,12.5,199.0,229.8,6,2
Lalghati,New Market,17,2,0,62,5.76,138.12,133.1,6,8
MP Nagar,Airport,13,2,1,44,11.19,186.28,211.54,7,0
Railway Station,Ashoka Garden,21,5,0,45,0.98,45.76,50.56,9,1
Habibganj,New Market,5,2,1,92,4.74,140.88,163.81,3,8
BHEL,Airport,23,1,0,28,16.74,274.88,251.08,2,0
New Market,Ashoka Garden,11,3,0,29,4.99,132.88,109.78,8,1
Railway Station,Lalghati,16,5,1,73,4.47,139.64,140.3,9,6
BHEL,Indrapuri,11,4,1,56,1.57,35.84,77.78,2,4
New Market,Shahpura,3,5,0,29,6.72,161.64,132.94,8,10
BHEL,Indrapuri,12,6,1,28,1.57,70.84,73.01,2,4
Railway Station,MP Nagar,11,0,1,66,3.31,126.72,121.72,9,7
Railway Station,Airport,6,3,0,24,8.55,113.6,136.8,9,0
Habibganj,New Market,21,1,1,34,4.74,103.88,117.66,3,8
Airport,Indrapuri,18,2,0,80,15.69,257.28,270.6,0,4
Habibganj,New Market,13,1,1,48,4.74,78.88,112.66,3,8
Ashoka Garden,Shahpura,12,2,1,82,7.18,108.16,198.26,1,10
Airport,New Market,12,0,1,99,8.43,144.16,226.46,0,8
Habibganj,Indrapuri,1,2,1,72,6.68,111.16,166.42,3,4
Habibganj,Shahpura,4,5,0,46,2.26,58.12,65.32,3,10
Indrapuri,MP Nagar,4,1,0,82,6.76,98.12,155.28,4,7
Airport,Railway Station,5,1,1,83,8.55,176.6,234.96,0,9
MP Nagar,Shahpura,5,6,0,68,3.67,72.04,95.09,7,10
Lalghati,Airport,18,0,0,56,4.25,63.0,99.96,6,0
Ashoka Garden,MP Nagar,7,4,1,71,3.76,64.12,114.97,1,7
Ashoka Garden,Shahpura,8,5,0,76,7.18,156.16,152.82,1,10
Lalghati,Ashoka Garden,5,1,0,99,4.78,146.36,139.32,6,1
Shahpura,Habibganj,13,2,1,79,2.26,99.12,100.37,10,3
MP Nagar,BHEL,15,0,0,37,8.3,173.6,149.8,7,2
Habibganj,MP Nagar,21,4,1,44,1.42,48.04,66.65,3,7
Airport,Kolar,23,2,0,91,14.03,189.36,271.24,0,5
BHEL,Indrapuri,9,0,0,87,1.57,55.84,77.07,2,4
Railway Station,Kolar,6,2,0,41,8.59,143.08,143.08,9,5
BHEL,New Market,22,5,0,60,11.86,168.32,208.69,2,8
BHEL,Kolar,21,3,0,65,13.11,231.32,235.69,2,5
Shahpura,Habibganj,6,3,1,93,2.26,92.12,112.39,10,3
Railway Station,MP Nagar,21,4,1,33,3.31,77.72,95.26,9,7
BHEL,Shahpura,14,5,0,26,8.38,122.56,136.96,2,10
MP Nagar,Railway Station,16,2,0,74,3.31,77.72,92.08,7,9
Habibganj,Ashoka Garden,13,6,1,27,5.07,100.84,121.01,3,1
Shahpura,Lalghati,19,2,0,75,11.14,176.68,202.07,10,6
Ashoka Garden,Indrapuri,1,6,1,57,6.76,149.12,175.17,1,4
Railway Station,Lalghati,5,4,0,33,4.47,139.64,107.44,9,6
Kolar,Airport,21,4,1,74,14.03,241.36,298.3,5,0
Ashoka Garden,Habibganj,13,0,0,98,5.07,104.84,133.91,1,3
Airport,Habibganj,19,0,0,50,12.53,237.36,204.46,0,3
Indrapuri,Shahpura,9,3,0,32,6.89,170.68,137.08,4,10
MP Nagar,Railway Station,11,5,0,21,3.31,69.72,77.72,7,9
Ashoka Garden,Shahpura,5,0,0,99,7.18,107.16,162.73,1,10
Shahpura,Lalghati,1,5,0,99,11.14,208.68,236.26,10,6
Kolar,Airport,4,1,0,66,14.03,187.36,237.5,5,0
Airport,Kolar,12,6,0,29,14.03,228.36,214.36,0,5
Lalghati,Kolar,0,6,1,92,11.53,149.36,279.58,6,5
BHEL,Habibganj,5,3,1,64,8.25,146.0,196.0,2,3
MP Nagar,New Market,2,3,1,95,3.82,72.84,134.74,7,8
Habibganj,New Market,4,6,0,100,4.74,138.88,136.61,3,8
Lalghati,New Market,15,1,1,35,5.76,156.12,142.32,6,8
Shahpura,Indrapuri,5,6,1,94,6.89,169.68,205.69,10,4
New Market,Lalghati,20,2,1,70,5.76,133.12,157.57,8,6
Lalghati,Ashoka Garden,21,0,0,78,4.78,98.36,113.14,6,1
Shahpura,Airport,4,4,1,76,14.75,253.0,311.0,10,0
Ashoka Garden,New Market,17,3,1,66,4.99,129.88,145.83,1,8
Lalghati,Ashoka Garden,9,6,0,73,4.78,75.36,108.54,6,1
BHEL,Indrapuri,18,0,1,80,1.57,53.84,81.38,2,4
Indrapuri,New Market,8,2,1,69,10.37,138.44,225.02,4,8
Shahpura,Airport,18,0,1,56,14.75,255.0,311.4,10,0
Railway Station,Kolar,3,3,0,68,8.59,147.08,166.77,9,5
Ashoka Garden,Habibganj,5,5,1,62,5.07,99.84,140.98,1,3
Indrapuri,Airport,11,1,0,43,15.69,219.28,226.48,4,0
Kolar,New Market,9,6,1,27,5.79,134.48,136.38,5,8
Indrapuri,Shahpura,15,3,1,99,6.89,134.68,198.69,4,10
Lalghati,BHEL,6,2,1,92,12.5,232.0,312.4,6,2
Kolar,BHEL,7,1,1,94,13.11,201.32,316.51,5,2
Shahpura,Ashoka Garden,14,0,1,82,7.18,96.16,195.86,10,1
New Market,Lalghati,11,4,1,100,5.76,82.12,169.19,8,6
Railway Station,BHEL,3,3,0,37,8.71,166.52,151.12,9,2
MP Nagar,Kolar,15,3,0,51,5.82,134.84,132.72,7,5
Kolar,Lalghati,11,0,1,27,11.53,201.36,218.63,5,6
Indrapuri,Shahpura,3,0,1,82,6.89,108.68,193.49,4,10
New Market,Indrapuri,14,3,1,97,10.37,139.44,258.1,8,4
Kolar,New Market,17,2,0,40,5.79,97.48,107.08,5,8
Airport,Habibganj,1,3,1,88,12.53,208.36,308.18,0,3
New Market,BHEL,14,5,0,98,11.86,192.32,242.66,8,2
Airport,Habibganj,19,3,0,98,12.53,205.36,254.28,0,3
Kolar,Indrapuri,7,2,1,98,11.56,185.72,287.35,5,4
BHEL,Kolar,5,0,0,64,13.11,187.32,226.89,2,5
Airport,Ashoka Garden,4,2,0,89,8.99,121.88,190.0,0,1
New Market,MP Nagar,21,4,0,100,3.82,76.84,111.51,8,7
Ashoka Garden,Railway Station,20,3,1,96,0.98,82.76,89.02,1,9
BHEL,Indrapuri,21,2,0,55,1.57,49.84,66.45,2,4
Lalghati,Kolar,15,4,1,98,11.53,196.36,288.98,6,5
New Market,Airport,3,5,0,51,8.43,166.16,168.75,8,0
Indrapuri,Kolar,18,6,0,52,11.56,151.72,201.92,4,5
Lalghati,Indrapuri,1,6,0,96,11.44,186.28,235.81,6,4
Indrapuri,New Market,8,1,0,47,10.37,136.44,158.84,4,8
New Market,Lalghati,20,2,0,99,5.76,132.12,148.64,8,6
MP Nagar,BHEL,13,6,1,81,8.3,130.6,221.56,7,2
Habibganj,MP Nagar,10,4,1,25,1.42,59.04,68.85,3,7
Kolar,Indrapuri,11,0,1,71,11.56,183.72,251.21,5,4
New Market,Habibganj,6,2,1,33,4.74,87.88,114.46,8,3
New Market,Railway Station,6,6,1,82,4.02,67.24,136.98,8,9
Lalghati,Habibganj,3,0,0,74,8.88,145.56,169.81,6,3
Habibganj,BHEL,5,6,0,85,8.25,149.0,185.48,3,2
Shahpura,New Market,8,6,1,75,6.72,159.64,176.7,10,8
MP Nagar,New Market,12,1,1,33,3.82,75.84,101.01,7,8
BHEL,Lalghati,5,3,0,85,12.5,218.0,256.4,2,6
Shahpura,Ashoka Garden,6,5,1,63,7.18,156.16,182.62,10,1
BHEL,Ashoka Garden,20,1,1,23,7.96,154.52,166.42,2,1
Habibganj,Kolar,20,6,0,78,5.08,88.96,114.71,3,5
Shahpura,Ashoka Garden,5,3,1,34,7.18,116.16,149.39,10,1
Habibganj,Kolar,22,4,0,31,5.08,93.96,99.56,3,5
New Market,Kolar,10,3,0,77,5.79,121.48,129.4,8,5
Railway Station,Habibganj,1,1,1,81,4.71,83.52,151.83,9,3
Airport,BHEL,6,3,0,27,16.74,276.88,251.68,0,2
MP Nagar,New Market,3,2,1,97,3.82,66.84,133.54,7,8
Ashoka Garden,BHEL,12,4,1,84,7.96,112.52,212.23,1,2
Ashoka Garden,Habibganj,14,4,1,97,5.07,150.84,171.34,1,3
MP Nagar,Shahpura,23,2,0,40,3.67,57.04,78.64,7,10
Habibganj,BHEL,8,0,0,97,8.25,112.0,178.08,3,2
Ashoka Garden,Kolar,15,6,0,57,9.32,172.84,180.33,1,5
Railway Station,Ashoka Garden,17,0,1,65,0.98,85.76,80.08,9,1
Shahpura,Indrapuri,3,5,1,67,6.89,148.68,176.95,10,4
Habibganj,Kolar,17,0,0,71,5.08,84.96,113.91,3,5
Habibganj,Ashoka Garden,10,1,1,20,5.07,142.84,131.09,3,1
Ashoka Garden,New Market,17,1,1,75,4.99,135.88,147.03,1,8
Ashoka Garden,BHEL,14,5,1,74,7.96,156.52,193.93,1,2
MP Nagar,Kolar,16,1,1,68,5.82,102.84,152.38,7,5
Shahpura,BHEL,23,4,1,95,8.38,142.56,225.3,10,2
Airport,Railway Station,3,5,0,23,8.55,168.6,150.4,0,9
MP Nagar,Ashoka Garden,16,5,0,97,3.76,109.12,117.16,7,1
MP Nagar,New Market,17,3,1,82,3.82,76.84,135.54,7,8
Ashoka Garden,Airport,6,4,1,70,8.99,150.88,207.63,1,0
Railway Station,Airport,12,6,0,51,8.55,189.6,176.66,9,0
Railway Station,Habibganj,4,3,1,22,4.71,124.52,121.81,9,3
BHEL,Shahpura,5,0,0,34,8.38,135.56,139.56,2,10
Kolar,Indrapuri,16,6,0,79,11.56,169.72,205.52,5,4
Indrapuri,Ashoka Garden,1,1,1,43,6.76,98.12,140.74,4,1
MP Nagar,Kolar,2,3,0,81,5.82,125.84,148.19,7,5
New Market,Lalghati,16,4,1,57,5.76,80.12,146.97,8,6
Railway Station,BHEL,4,2,1,49,8.71,144.52,173.42,9,2
Lalghati,BHEL,3,2,0,98,12.5,197.0,252.2,6,2
MP Nagar,BHEL,13,4,0,67,8.3,186.6,173.24,7,2
Railway Station,New Market,8,4,1,45,4.02,122.24,113.88,9,8
MP Nagar,Railway Station,22,5,1,45,3.31,110.72,102.97,7,9
Airport,Indrapuri,23,5,1,48,15.69,254.28,279.14,0,4
Indrapuri,Ashoka Garden,12,0,0,82,6.76,165.12,168.68,4,1
Railway Station,Shahpura,3,0,1,31,6.92,118.04,146.65,9,10
New Market,Ashoka Garden,7,5,1,51,4.99,146.88,149.23,8,1
Airport,MP Nagar,4,1,0,83,11.19,144.28,224.05,0,7
Railway Station,Indrapuri,1,6,1,69,7.42,168.04,188.46,9,4
Airport,MP Nagar,21,0,1,54,11.19,213.28,251.79,0,7
Kolar,BHEL,23,3,1,80,13.11,194.32,275.65,5,2
MP Nagar,BHEL,11,5,0,62,8.3,170.6,168.44,7,2
Indrapuri,Railway Station,15,0,0,95,7.42,166.04,177.73,4,9
Indrapuri,MP Nagar,11,0,1,43,6.76,111.12,143.34,4,7
Lalghati,Kolar,5,1,1,75,11.53,203.36,254.7,6,5
Habibganj,Kolar,7,3,1,21,5.08,130.96,127.63,3,5
BHEL,Kolar,4,5,1,49,13.11,196.32,236.58,2,5
Railway Station,Ashoka Garden,11,6,1,86,0.98,76.76,87.82,9,1
Airport,Railway Station,7,1,1,94,8.55,141.6,227.96,0,9
Habibganj,Kolar,13,4,0,65,5.08,88.96,114.71,3,5
Railway Station,Airport,13,1,1,74,8.55,152.6,201.64,9,0
Habibganj,Shahpura,19,0,1,32,2.26,72.12,81.54,3,10
Railway Station,Kolar,18,1,0,34,8.59,171.08,151.48,9,5
Airport,Indrapuri,5,1,1,100,15.69,256.28,370.85,0,4
BHEL,Habibganj,10,6,1,61,8.25,130.0,192.8,2,3
Lalghati,Habibganj,3,6,1,25,8.88,164.56,179.47,6,3
Lalghati,Indrapuri,17,3,1,62,11.44,213.28,255.39,6,4
Lalghati,Airport,6,5,0,55,4.25,76.0,102.56,6,0
Lalghati,MP Nagar,7,4,0,85,7.47,151.64,175.52,6,7
Lalghati,Shahpura,3,1,1,87,11.14,179.68,279.09,6,10
MP Nagar,Habibganj,7,3,0,80,1.42,54.04,65.57,7,3
Lalghati,Habibganj,2,5,0,42,8.88,186.56,158.56,6,3
MP Nagar,Airport,22,5,0,97,11.19,204.28,236.05,7,0
New Market,Shahpura,23,2,1,59,6.72,119.64,168.7,8,10
Airport,Kolar,0,0,0,43,14.03,197.36,206.16,0,5
Indrapuri,MP Nagar,3,2,0,38,6.76,146.12,128.62,4,7
Indrapuri,Airport,23,4,1,60,15.69,223.28,318.59,4,0
Airport,BHEL,4,4,1,64,16.74,287.88,346.63,0,2
Indrapuri,Ashoka Garden,15,3,1,57,6.76,126.12,170.57,4,1
Habibganj,Lalghati,12,6,0,90,8.88,171.56,198.46,3,6
BHEL,Kolar,22,5,0,33,13.11,214.32,202.42,2,5
Indrapuri,Kolar,20,6,1,94,11.56,174.72,285.15,4,5
MP Nagar,Railway Station,12,5,0,70,3.31,72.72,91.08,7,9
Airport,MP Nagar,1,1,1,100,11.19,165.28,277.05,0,7
Indrapuri,Lalghati,9,4,1,65,11.44,201.28,252.99,4,6
Ashoka Garden,Habibganj,13,4,0,44,5.07,73.84,95.44,1,3
BHEL,MP Nagar,4,2,0,100,8.3,140.6,184.47,2,7
Ashoka Garden,Indrapuri,13,1,0,96,6.76,97.12,155.08,1,4
Shahpura,Railway Station,21,0,1,44,6.92,141.04,151.25,10,9
Ashoka Garden,Airport,3,1,0,35,8.99,158.88,151.18,1,0
Airport,Ashoka Garden,11,3,1,62,8.99,193.88,216.23,0,1
Habibganj,Shahpura,8,2,0,33,2.26,52.12,64.12,3,10
Kolar,Railway Station,0,4,0,33,8.59,193.08,158.08,5,9
Railway Station,Habibganj,16,4,1,44,4.71,79.52,112.42,9,3
Railway Station,Airport,9,5,1,28,8.55,176.6,177.92,9,0
Ashoka Garden,New Market,16,0,1,21,4.99,76.88,115.26,1,8
Railway Station,MP Nagar,8,2,1,51,3.31,63.72,108.41,9,7
Indrapuri,New Market,13,3,0,53,10.37,204.44,199.46,4,8
Shahpura,Ashoka Garden,10,0,1,94,7.18,104.16,197.46,10,1
Habibganj,Ashoka Garden,17,4,1,61,5.07,118.84,144.78,3,1
Lalghati,Indrapuri,10,1,0,96,11.44,164.28,231.41,6,4
Kolar,Ashoka Garden,7,6,0,78,9.32,128.84,171.53,5,1
MP Nagar,Railway Station,9,2,0,59,3.31,57.72,88.08,7,9
Ashoka Garden,Railway Station,6,3,0,60,0.98,75.76,66.21,1,9
Airport,BHEL,9,6,1,64,16.74,230.88,335.23,0,2
Habibganj,MP Nagar,6,0,1,30,1.42,29.04,62.85,3,7
MP Nagar,Ashoka Garden,15,0,0,63,3.76,107.12,103.64,7,1
MP Nagar,Indrapuri,12,1,0,95,6.76,115.12,158.68,7,4
Habibganj,Airport,16,5,1,67,12.53,213.36,271.1,3,0
Airport,MP Nagar,6,4,1,98,11.19,206.28,285.25,0,7
MP Nagar,Habibganj,8,6,0,37,1.42,68.04,60.34,7,3
Airport,MP Nagar,20,2,1,30,11.19,173.28,208.94,0,7
Ashoka Garden,Shahpura,5,2,1,88,7.18,112.16,199.06,1,10
Railway Station,BHEL,17,2,0,52,8.71,119.52,162.64,9,2
Ashoka Garden,New Market,15,5,0,49,4.99,130.88,109.18,1,8
Shahpura,MP Nagar,19,3,1,88,3.67,130.04,143.66,10,7
Airport,Habibganj,13,5,0,97,12.53,235.36,260.28,0,3
Indrapuri,Lalghati,15,5,0,39,11.44,195.28,182.68,4,6
Railway Station,Habibganj,10,0,1,88,4.71,120.52,159.23,9,3
Habibganj,Shahpura,10,6,1,26,2.26,94.12,86.97,3,10
Airport,New Market,11,2,1,83,8.43,113.16,220.26,0,8
Shahpura,MP Nagar,19,3,0,51,3.67,104.04,101.81,10,7
New Market,Habibganj,18,3,1,76,4.74,86.88,133.63,8,3
BHEL,Railway Station,9,0,0,35,8.71,151.52,146.62,2,9
Lalghati,Indrapuri,0,1,1,72,11.44,179.28,248.59,6,4
Lalghati,Ashoka Garden,19,5,0,96,4.78,107.36,130.52,6,1
Kolar,Indrapuri,21,1,1,53,11.56,221.72,258.81,5,4
MP Nagar,Railway Station,3,4,1,68,3.31,61.72,108.01,7,9
Shahpura,Kolar,22,1,0,85,4.91,101.92,131.17,10,5
Kolar,New Market,6,0,1,94,5.79,126.48,178.57,5,8
Railway Station,MP Nagar,21,2,0,55,3.31,83.72,93.28,9,7
Lalghati,Railway Station,18,4,0,95,4.47,110.64,127.0,6,9
Ashoka Garden,Lalghati,7,6,1,32,4.78,69.36,111.23,1,6
BHEL,Airport,2,4,0,97,16.74,277.88,325.36,2,0
Airport,Railway Station,23,4,1,60,8.55,149.6,201.04,0,9
Lalghati,Airport,18,5,0,22,4.25,69.0,86.6,6,0
Railway Station,Ashoka Garden,20,1,0,68,0.98,82.76,68.31,9,1
BHEL,Airport,21,0,1,91,16.74,255.88,388.41,2,0
Airport,Kolar,12,1,0,59,14.03,224.36,244.9,0,5
BHEL,Habibganj,8,4,0,55,8.25,128.0,159.04,2,3
New Market,Railway Station,4,3,0,54,4.02,133.24,114.09,8,9
New Market,Railway Station,14,0,0,24,4.02,82.24,87.04,8,9
Kolar,Railway Station,14,3,0,92,8.59,135.08,187.27,5,9
BHEL,MP Nagar,17,1,1,24,8.3,173.6,174.32,2,7
